============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Tarcza(  11 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  169 19 .1519060E+11   1100017E-01  .1303E+02  .1128E+01   .9999999  .0001910  .0000059
T  170 19 .1519276E+11   1100011E-01 -.7867E+01  .6684E+01   .9999999 -.0001348  .0001487
T  171 19 .1519118E+11   1100009E-01  .1248E+01  .8245E+01   .9999999 -.0000166  .0001809
T  172 19 .1519150E+11   1100001E-01 -.5644E+02 -.8780E+02   .9999981 -.0010489 -.0016553
T  173 19 .1519206E+11   1100001E-01  .1126E+01  .9467E+01   .9999999  .0001311  .0003091
T  174 19 .1519289E+11   1100009E-01  .8248E+01  .2576E+01   .9999999  .0000823 -.0000210
T  175 19 .1519251E+11   1100006E-01 -.3822E+01  .5292E+00   .9999999 -.0001317  .0000157
T  176 19 .1519270E+11   1100002E-01 -.1404E+02 -.3056E+01   .9999999 -.0003196 -.0000093
T  177 19 .1519341E+11   1100002E-01  .3159E+01 -.4902E+01   .9999999  .0000483 -.0001143
T  178 19 .1519254E+11   1100001E-01 -.3663E+01 -.2459E+01   .9999999 -.0000139 -.0000458
T  179 19 .1519083E+11   1100016E-01 -.6905E+01 -.1221E+02   .9999999  .0000192 -.0002294
T  180 19 .1519182E+11   1100021E-01  .9044E+01 -.7043E+00   .9999999  .0000071  .0000653
T  181 19 .1519280E+11   1100009E-01 -.9484E+01 -.1262E+02   .9999999 -.0000827 -.0001180
T  182 19 .1519429E+11   1100000E-01  .1421E+01 -.4819E+01   .9999999  .0000195 -.0001769
T  183 19 .1519260E+11   1100022E-01 -.7682E+01 -.7663E+01   .9999999 -.0002587 -.0001134
T  184 19 .1519242E+11   1100002E-01  .2138E+02  .6969E+01   .9999999  .0002810  .0000249
T  185 19 .1519261E+11   1100018E-01 -.4448E+01 -.1257E+01   .9999999  .0000401  .0000417
T  186 19 .1519187E+11   1100003E-01 -.3074E+01 -.1006E+02   .9999999 -.0001736 -.0000138
T  187 19 .1519348E+11   1100020E-01  .4665E+01  .5015E+01   .9999999  .0000504 -.0000167
T  188 19 .1519265E+11   1100007E-01  .5854E+00  .2636E+01   .9999998 -.0006101 -.0001698
T  189 19 .1519208E+11   1100007E-01 -.6457E+01  .1609E+02   .9999999 -.0001173  .0002452
T  190 19 .1519340E+11   1100006E-01  .1582E+02 -.1113E+02   .9999999  .0002332 -.0002468
T  191 19 .1519324E+11   1100001E-01  .7736E+01 -.8273E+01   .9999999  .0000947 -.0000848
T  192 19 .1519215E+11   1100018E-01 -.2056E+02  .1183E+02   .9999999 -.0002885  .0001502
T  193 19 .1519213E+11   1100019E-01 -.1992E+02  .8457E+02   .9999995 -.0002005  .0009759
T  194 19 .1519327E+11   1100021E-01 -.9858E+01 -.1665E+02   .9999999 -.0001644 -.0001976
T  195 19 .1519250E+11   1100004E-01 -.1348E+02  .3853E+00   .9999999 -.0001756  .0000378
T  196 19 .1519158E+11   1100014E-01 -.3406E+01 -.2570E+00   .9999999 -.0000766 -.0000038
T  197 19 .1519211E+11   1100003E-01 -.1622E+01  .6542E+01   .9999999  .0000122  .0000156
T  198 19 .1519275E+11   1100021E-01 -.5709E+01 -.4029E+01   .9999999 -.0001429  .0000449
T  199 19 .1519251E+11   1100023E-01 -.2219E+01 -.5593E+01   .9999999 -.0000239  .0000701
T  200 19 .1519268E+11   1100022E-01  .1415E+01  .5964E+01   .9999999  .0001283  .0000686
T  201 19 .1519206E+11   1100016E-01  .2465E+02  .4678E+02   .9999997  .0004749  .0006292
T  202 19 .1519196E+11   1100006E-01 -.8833E+01  .2106E+02   .9999999 -.0000694  .0003994
T  203 19 .1519157E+11   1100001E-01 -.3049E+01 -.1385E+02   .9999999 -.0000783 -.0002742
T  204 19 .1519328E+11   1100008E-01  .2276E+01  .2771E+01   .9999999  .0001202  .0001414
T  205 19 .1519274E+11   1100006E-01 -.4815E+01 -.4662E+01   .9999999  .0001078 -.0000501
T  206 19 .1519499E+11   1100019E-01 -.7304E+01  .7461E+00   .9999999 -.0000159 -.0000433
T  207 19 .1519344E+11   1100018E-01  .3349E+02  .6649E+02   .9999997  .0004820  .0005521
T  208 19 .1519236E+11   1100018E-01  .2742E+01 -.7781E+01   .9999999 -.0000221 -.0000590
T  209 19 .1519287E+11   1100005E-01  .1215E+01 -.4453E+01   .9999999 -.0000615  .0000330
T  210 19 .1519203E+11   1100022E-01 -.7026E+01  .1722E+02   .9999999 -.0002047  .0001069
T  211 19 .1519306E+11   1100022E-01 -.1111E+02 -.2896E+01   .9999999 -.0001471 -.0000427
T  212 19 .1519427E+11   1100023E-01  .1275E+01  .3111E+01   .9999999  .0001758  .0000143
T  213 19 .1519302E+11   1100001E-01  .7556E+00 -.2365E+01   .9999999 -.0000452  .0000416
T  214 19 .1519248E+11   1100001E-01  .1757E+02 -.2710E+01   .9999999  .0003602 -.0001467
T  215 19 .1519281E+11   1100011E-01  .2078E+01 -.1161E+02   .9999999 -.0000300 -.0001655
T  216 19 .1519236E+11   1100023E-01  .1184E+01 -.7120E+01   .9999999  .0000674 -.0002652
T  217 19 .1519176E+11   1100020E-01  .1265E+02 -.7157E+01   .9999999  .0001720 -.0000510
T  218 19 .1519220E+11   1100009E-01  .1886E+01  .9997E+01   .9999999 -.0000243  .0001351
T  219 19 .1519259E+11   1100013E-01  .6195E+00 -.4851E+01   .9999999  .0000195 -.0002015
T  220 19 .1519253E+11   1100005E-01  .1374E+02  .9282E+01   .9999999  .0001772  .0002494
T  221 19 .1519200E+11   1100016E-01 -.8998E+01  .6114E+01   .9999999 -.0001451  .0002472
T  222 19 .1519431E+11   1100014E-01 -.5730E+01  .6243E+01   .9999999 -.0002149  .0000708
T  223 19 .1519212E+11   1100023E-01  .8384E+01  .6069E+01   .9999999  .0001616  .0000691
T  224 19 .1519183E+11   1100008E-01  .1434E+01 -.3455E+01   .9999999 -.0001317 -.0003190
T  225 19 .1519246E+11   1100010E-01 -.3076E+01  .4266E+01   .9999999 -.0001037  .0000233
T  226 19 .1519264E+11   1100015E-01  .1320E+02  .1592E+01   .9999999  .0001896  .0000948
T  227 19 .1519325E+11   1100012E-01 -.7090E+01  .3344E+01   .9999999 -.0001573  .0000698
T  228 19 .1519232E+11   1100017E-01  .1111E+01 -.5713E+01   .9999999 -.0000019 -.0000170
T  229 19 .1519375E+11   1100017E-01  .3386E+01  .5396E+01   .9999999  .0001120  .0000640
T  230 19 .1519219E+11   1100013E-01 -.7740E+01  .5162E+01   .9999999 -.0001035  .0001787
T  231 19 .1519306E+11   1100012E-01  .1011E+02  .5795E+01   .9999999  .0001564  .0001071
